,Age,Gender,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating,EducationBackground_Life Sciences,EducationBackground_Marketing,EducationBackground_Medical,EducationBackground_Other,EducationBackground_Technical Degree,MaritalStatus_Married,MaritalStatus_Single,EmpDepartment_Development,EmpDepartment_Finance,EmpDepartment_Human Resources,EmpDepartment_Research & Development,EmpDepartment_Sales,EmpJobRole_Data Scientist,EmpJobRole_Delivery Manager,EmpJobRole_Developer,EmpJobRole_Finance Manager,EmpJobRole_Healthcare Representative,EmpJobRole_Human Resources,EmpJobRole_Laboratory Technician,EmpJobRole_Manager,EmpJobRole_Manager R&D,EmpJobRole_Manufacturing Director,EmpJobRole_Research Director,EmpJobRole_Research Scientist,EmpJobRole_Sales Executive,EmpJobRole_Sales Representative,EmpJobRole_Senior Developer,EmpJobRole_Senior Manager R&D,EmpJobRole_Technical Architect,EmpJobRole_Technical Lead,BusinessTravelFrequency_Travel_Frequently,BusinessTravelFrequency_Travel_Rarely
0,32,True,10,3,4,55,3,2,4,1,0,12,4,10,2,2,10,7,0,8,0,3,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
1,47,True,14,4,4,42,3,2,1,2,0,12,4,20,2,3,7,7,1,7,0,3,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2,40,True,5,4,4,48,2,3,1,5,1,21,3,20,2,3,18,13,1,12,0,4,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
3,41,True,10,4,2,73,2,5,4,3,0,15,2,23,2,2,21,6,12,6,0,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
4,60,True,16,4,1,84,3,2,1,8,0,14,4,10,1,3,2,2,2,2,0,3,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
5,27,True,10,2,4,32,3,3,1,1,0,21,3,9,4,2,9,7,1,7,0,4,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6,50,True,8,4,4,54,3,1,2,7,0,15,4,4,2,3,2,2,2,2,0,3,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
7,28,False,1,2,1,67,1,1,2,7,1,13,4,10,4,3,7,7,3,7,1,3,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,36,False,8,3,1,63,4,3,1,9,0,14,1,10,2,3,8,7,0,5,0,3,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,38,False,1,3,3,81,3,3,3,4,1,14,4,10,4,4,1,0,0,0,0,3,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10,44,True,24,3,1,49,1,1,3,2,0,14,3,9,5,3,5,2,1,4,0,3,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,47,False,3,3,4,49,3,4,3,9,1,12,4,28,2,2,22,2,11,13,0,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
12,30,True,27,5,3,99,3,2,4,7,0,23,4,10,2,2,8,7,7,7,0,4,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
13,29,True,10,3,3,99,3,1,3,1,0,11,3,1,6,3,1,0,0,0,0,3,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
14,42,True,19,3,3,57,4,1,3,6,1,12,4,7,2,3,2,2,2,2,1,3,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
15,34,False,8,2,2,96,3,2,3,3,0,11,4,10,2,3,5,1,4,3,0,3,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16,39,False,3,3,3,44,4,2,2,9,0,15,3,12,3,1,8,3,3,6,0,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
17,56,True,9,3,3,81,3,4,4,7,0,11,3,30,1,2,10,7,1,1,0,3,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
18,40,False,2,1,4,86,2,1,4,0,1,20,4,5,2,2,4,2,2,3,0,4,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19,27,False,7,3,4,55,2,2,1,8,0,19,1,9,2,1,7,6,0,7,0,3,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20,29,True,10,3,4,83,3,1,2,1,0,14,4,2,2,3,2,2,2,2,0,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
21,53,True,6,3,4,86,3,2,4,2,0,17,4,19,4,3,2,2,2,2,0,3,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22,35,False,2,4,4,61,3,2,1,2,0,11,1,16,2,4,1,0,0,0,0,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
23,32,True,24,4,1,80,3,2,4,1,0,15,4,10,2,3,10,8,4,7,0,3,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
24,34,False,8,5,2,32,3,2,1,3,0,14,3,7,3,3,0,0,0,0,0,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
25,52,True,3,4,3,31,2,4,1,1,0,11,1,34,3,4,34,6,1,16,0,4,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
26,33,True,1,4,4,63,3,1,4,1,1,13,3,10,2,2,10,9,7,8,1,3,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
27,25,False,26,1,3,32,3,2,4,1,0,23,2,6,5,2,6,5,1,4,0,4,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
28,45,True,2,2,2,46,1,2,3,0,0,13,1,9,3,3,8,7,3,1,0,3,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
29,23,True,10,1,1,79,4,1,3,1,0,18,4,2,3,3,2,2,0,2,0,3,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
30,47,False,27,2,2,77,4,2,3,4,1,12,4,8,2,3,5,4,1,3,1,3,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
31,34,True,2,3,4,60,3,2,4,1,0,22,3,6,5,3,6,5,1,4,0,4,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
32,36,True,8,4,1,76,2,3,1,1,0,15,2,10,1,3,10,7,0,9,0,3,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
