,Model_Predictions,Actual_Targets
0,3,3
1,2,3
2,2,2
3,2,2
4,3,3
5,3,3
6,2,2
7,3,3
8,2,3
9,3,3
10,3,3
11,2,2
12,3,3
13,3,3
14,3,3
15,3,3
16,3,3
17,3,3
18,3,3
19,3,3
20,3,3
21,2,2
22,3,2
23,2,3
24,3,3
25,4,2
26,4,4
27,3,3
28,2,2
29,3,3
30,3,3
31,4,4
32,3,3
33,3,3
34,3,3
35,4,4
36,3,3
37,3,3
38,4,4
39,3,3
40,3,3
41,3,3
42,3,3
43,3,3
44,3,3
45,4,4
46,4,4
47,3,3
48,3,3
49,3,3
50,3,3
51,2,2
52,3,3
53,4,4
54,3,3
55,3,3
56,3,3
57,3,3
58,3,3
59,3,3
60,3,3
61,4,4
62,4,4
63,3,3
64,3,3
65,3,3
66,2,2
67,3,3
68,3,3
69,4,4
70,3,3
71,3,3
72,3,3
73,3,3
74,3,3
75,3,3
76,3,3
77,3,3
78,2,3
79,3,3
80,3,4
81,2,2
82,3,2
83,3,3
84,3,3
85,2,2
86,2,3
87,3,3
88,3,3
89,3,3
90,3,3
91,4,3
92,4,4
93,3,3
94,3,3
95,3,3
96,3,3
97,3,3
98,2,2
99,2,3
100,3,3
101,3,3
102,4,4
103,3,3
104,3,3
105,3,3
106,2,2
107,2,2
108,2,2
109,2,3
110,3,3
111,3,3
112,4,4
113,3,3
114,3,3
115,4,4
116,4,2
117,2,3
118,3,3
119,3,3
120,3,3
121,4,4
122,2,3
123,2,2
124,3,3
125,2,3
126,2,2
127,3,3
128,4,3
129,4,4
130,3,3
131,3,3
132,3,3
133,4,3
134,3,3
135,2,2
136,3,3
137,3,3
138,3,3
139,4,3
140,3,3
141,2,2
142,2,2
143,2,2
144,2,3
145,3,3
146,3,3
147,2,2
148,3,3
149,4,4
150,3,3
151,3,3
152,3,3
153,3,3
154,3,3
155,4,4
156,3,3
157,2,2
158,3,3
159,3,3
160,3,3
161,2,3
162,3,3
163,2,2
164,3,3
165,3,4
166,3,3
167,3,3
168,3,4
169,3,3
170,4,4
171,2,2
172,3,3
173,2,2
174,3,3
175,3,3
176,3,3
177,3,3
178,2,2
179,3,3
180,3,3
181,3,3
182,3,3
183,3,3
184,3,4
185,4,3
186,3,4
187,3,3
188,4,3
189,3,3
190,3,3
191,3,3
192,3,3
193,3,3
194,3,3
195,3,3
196,3,3
197,3,3
198,3,3
199,3,3
200,2,2
201,3,3
202,2,3
203,3,3
204,2,2
205,2,3
206,2,3
207,3,3
208,3,3
209,4,3
210,3,3
211,3,3
212,3,3
213,3,3
214,3,3
215,2,2
216,2,2
217,2,2
218,2,2
219,3,3
220,4,4
221,3,3
222,2,2
223,4,4
224,3,3
225,3,3
226,4,3
227,2,3
228,3,3
229,3,3
230,3,3
231,2,3
232,3,3
233,3,3
234,3,3
235,2,2
236,3,3
237,3,3
238,3,3
239,2,2
