,Model_Predictions,Actual_Targets
0,1,1
1,1,1
2,1,0
3,0,0
4,1,1
5,1,1
6,0,0
7,1,1
8,1,1
9,1,1
10,1,1
11,0,0
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,0,0
22,1,0
23,1,1
24,1,1
25,0,0
26,2,2
27,1,1
28,1,0
29,1,1
30,1,1
31,2,2
32,1,1
33,1,1
34,1,1
35,2,2
36,1,1
37,1,1
38,2,2
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,2,2
46,2,2
47,1,1
48,1,1
49,1,1
50,1,1
51,0,0
52,1,1
53,2,2
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,2,2
62,2,2
63,1,1
64,1,1
65,1,1
66,0,0
67,1,1
68,1,1
69,2,2
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,2
81,0,0
82,1,0
83,1,1
84,1,1
85,0,0
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,0,1
92,2,2
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,0,0
99,1,1
100,1,1
101,1,1
102,2,2
103,1,1
104,1,1
105,1,1
106,0,0
107,0,0
108,0,0
109,1,1
110,1,1
111,1,1
112,2,2
113,1,1
114,1,1
115,2,2
116,1,0
117,1,1
118,1,1
119,1,1
120,1,1
121,2,2
122,0,1
123,0,0
124,1,1
125,1,1
126,0,0
127,1,1
128,1,1
129,2,2
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,0,0
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,0,0
142,0,0
143,0,0
144,1,1
145,1,1
146,1,1
147,0,0
148,1,1
149,2,2
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,2,2
156,1,1
157,0,0
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,0
164,1,1
165,1,2
166,1,1
167,1,1
168,1,2
169,1,1
170,2,2
171,0,0
172,1,1
173,0,0
174,1,1
175,1,1
176,1,1
177,1,1
178,0,0
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,2
185,1,1
186,1,2
187,1,1
188,2,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,0,0
201,1,1
202,1,1
203,1,1
204,0,0
205,1,1
206,1,1
207,1,1
208,1,1
209,2,1
210,1,1
211,1,1
212,1,1
213,1,1
214,1,1
215,0,0
216,0,0
217,0,0
218,0,0
219,1,1
220,2,2
221,1,1
222,0,0
223,2,2
224,1,1
225,1,1
226,1,1
227,0,1
228,1,1
229,1,1
230,1,1
231,1,1
232,1,1
233,1,1
234,1,1
235,0,0
236,1,1
237,1,1
238,1,1
239,0,0
